display_first_last,classification,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,ast/tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct
Brandon Davies,BUST,35,73.8,107.5,29.7,52.4,56.6,7.7,21.9,17.5,16.8,170,250,0.68,219,416,0.526,4,13,0.308,3.4,2.6,58.3,4,3.89971,121.981,4.3,0.92391394,93.5377,89.8546,3.69197,241.433,6.07682,2.64805,3.42877,6.85062,29.5143,4.44465,2.40597,2.0857,5.9429,8.0286,2.4286,1.3429,0.9429,17.7143,80.5,82.25,241.8,85.5,108.5,8.6
Allen Crabbe,SOLID,33,90.2,108.7,25.4,52.8,56.83,3.3,14.8,16.2,16.4,113,139,0.813,151,284,0.532,64,184,0.348,1.9,1.9,29.7,3,4.89605,123.015,2.3,1.04818706,96.3071,92.3083,4.20554,221.672,6.67658,4.50198,2.17461,7.75047,36.2121,5.72903,2.02144,1.0,5.0606,6.0606,2.6364,1.1212,0.697,18.3939,77.25,78.25,197.4,83.25,103.5,4.65
Gorgui Dieng,SOLID,33,63.1,112.6,18.2,53.4,56.23,12.9,22.1,12.3,18.9,73,112,0.652,125,234,0.534,0,0,0.0,9.4,2.6,47.9,3,3.55453,117.475,3.3,1.11863081,81.001,76.177,5.26508,252.025,13.4759,3.72605,9.74983,10.437,31.0909,4.59809,5.83893,3.4242,5.9697,9.3939,2.0,1.3333,2.5152,9.7879,81.75,82.75,229.6,87.5,111.5,5.35
Carrick Felix,BUST,35,86.7,110.3,20.7,56.9,58.61,7.1,18.5,9.6,16.1,81,122,0.664,137,239,0.573,52,139,0.374,3.2,2.4,32.3,4,3.65829,114.315,3.4,0.8143,95.093,92.0928,4.06723,261.508,5.94911,3.48269,2.46643,5.61637,35.2857,3.74718,1.86919,2.0857,6.0571,8.1429,1.6286,1.4286,1.1143,14.6,76.75,78.25,202.6,81.25,103.5,3.3
Cody Zeller,SOLID,36,73.3,119.4,26.5,56.2,62.26,12.4,18.7,9.4,17.1,196,259,0.757,199,352,0.565,0,2,0.0,4.4,2.1,73.2,2,5.4152,137.122,3.0,0.58026669,88.1328,83.5675,4.30792,237.616,9.61322,5.41262,4.2006,10.0009,29.5278,6.89924,3.10171,2.8333,5.2222,8.0556,1.3056,1.0278,1.25,16.5,82.75,84.25,230.0,82.75,106.0,4.75
Nate Wolters,BUST,31,91.8,122.7,30.8,54.5,60.31,3.6,14.1,35.1,12.8,182,221,0.824,167,314,0.532,62,163,0.38,0.4,2.9,46.3,4,6.90102,136.415,1.6,2.39997521,100.908,102.126,3.1249,220.48,8.87537,8.85589,0.0194864,9.58873,38.4839,8.3831,1.20563,1.0645,4.4516,5.5161,5.8065,1.7742,0.129,22.6452,75.5,76.75,196.4,75.75,98.0,5.5
Mason Plumlee,SOLID,36,86.7,113.1,25.1,59.9,62.8,9.8,23.3,11.5,19.2,173,254,0.681,221,369,0.599,0,0,0.0,4.0,1.7,68.8,4,5.15183,126.731,2.9,0.67959875,90.9172,84.9855,4.9222,282.551,8.66358,3.98273,4.68084,8.41895,34.6667,5.39624,3.0227,2.75,7.2222,9.9722,1.9444,1.0,1.4444,17.0833,83.25,84.5,238.2,83.0,108.0,6.15
Shane Larkin,BUST,36,90.7,117.2,21.8,56.9,59.97,1.6,10.4,26.1,17.9,87,112,0.777,114,212,0.538,69,170,0.406,0.3,3.4,29.3,2,5.12613,124.61,1.8,2.0,94.4082,89.0169,4.64512,239.198,9.1676,6.45891,2.70868,8.54247,36.4167,5.09768,3.44479,0.4722,3.3611,3.8333,4.5556,1.9722,0.1111,14.5,70.25,71.5,170.8,70.75,89.5,3.8
Kentavious Caldwell-Pope,SOLID,32,83.5,112.7,27.2,53.0,57.91,4.3,19.7,16.8,13.8,135,169,0.799,102,205,0.498,84,225,0.373,1.9,3.8,39.3,2,5.12839,128.133,2.6,0.90625,89.8474,87.0285,4.50765,245.772,10.4573,7.10835,3.34899,12.3303,33.9375,8.44938,3.88088,1.1562,5.9062,7.0625,1.8125,2.0312,0.5312,18.4688,76.5,77.5,203.6,80.0,100.5,6.45
Steven Adams,SOLID,32,56.1,109.7,18.0,57.1,55.46,15.3,19.1,5.4,16.9,31,70,0.443,100,175,0.571,0,0,0.0,11.2,1.9,40.0,1,2.11474,110.145,2.8,0.57140248,86.5013,83.1502,3.44551,158.07,9.76937,2.06394,7.70544,7.0935,23.4062,3.36616,3.72734,2.8125,3.5312,6.3438,0.625,0.6562,2.0312,7.2188,82.75,84.0,254.5,88.5,109.5,6.65
